resource_url,http_status,content_type,live_bucket
https://olympiads.hbcse.tifr.res.in/how-to-prepare/past-papers/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2002.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-sol-2001.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/for-teachers/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2017/01/inmo2017.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2024/02/INMO_2024_final_solutions.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/crmosol-12-4.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/05/sol_crmo_14_1.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/crmo-14-2.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmosol-15.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/crmo-14-3.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/crmo-15-2.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2009-1.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/07/Part_B_2022_Solutions_revised.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/en.M1.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/12/infosys_broch_2019.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/04/INMO_2021_solutions.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2026/01/INMO-2026.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/INMO-2016-English-Version.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/about-olympiads/infosys-award-function/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo-2008.pdf,404,,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/10/hi.M1.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/07/IOQM-Part-A-answer-key-.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2022/12/IOQM_22_finalversion_for_publish.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2021/03/INMO21FINAL.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/how-to-participate/enrollment/,200,text/html; charset=utf-8,200_html
https://olympiads.hbcse.tifr.res.in/olympiads/wp-content/uploads/2016/09/inmo2013-solutions.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/11/rmo_nov_2025_paper-1_hindi.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/11/rmo_nov_2025_paper-2_hindi.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2025/12/KV-RMO-2025-solutions.pdf,200,application/pdf,200_pdf
https://olympiads.hbcse.tifr.res.in/wp-content/uploads/2023/11/KV-n-JNV.pdf,200,application/pdf,200_pdf
