country,track,topic_tags,priority,source_type,source_title,source_url,resource_title,resource_url,resource_class,language,notes,access_model,verification_status,free_resource
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Challenge 2025 archive,https://ioimalaysia.org/competition/mcc/2025/archive/,MCC 2025 — Problem 1: Building Fences,https://ioimalaysia.org/competition/mcc/2025/archive/p1/,Official contest problem page,English,Public problem or editorial page explicitly linked from the official Malaysian Computing Challenge 2025 archive.,Free public web resource,HTTP 200 · verified 2026-08-15,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Challenge 2025 archive,https://ioimalaysia.org/competition/mcc/2025/archive/,MCC 2025 — Problem 2: Fans,https://ioimalaysia.org/competition/mcc/2025/archive/p2/,Official contest problem page,English,Public problem or editorial page explicitly linked from the official Malaysian Computing Challenge 2025 archive.,Free public web resource,HTTP 200 · verified 2026-08-15,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Challenge 2025 archive,https://ioimalaysia.org/competition/mcc/2025/archive/,MCC 2025 — Problem 3: Trick or Treat,https://ioimalaysia.org/competition/mcc/2025/archive/p3/,Official contest problem page,English,Public problem or editorial page explicitly linked from the official Malaysian Computing Challenge 2025 archive.,Free public web resource,HTTP 200 · verified 2026-08-15,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Challenge 2025 archive,https://ioimalaysia.org/competition/mcc/2025/archive/,MCC 2025 — Problem 4: Word Distance,https://ioimalaysia.org/competition/mcc/2025/archive/p4/,Official contest problem page,English,Public problem or editorial page explicitly linked from the official Malaysian Computing Challenge 2025 archive.,Free public web resource,HTTP 200 · verified 2026-08-15,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Challenge 2025 archive,https://ioimalaysia.org/competition/mcc/2025/archive/,MCC 2025 — Problem 5: Reachability Queries,https://ioimalaysia.org/competition/mcc/2025/archive/p5/,Official contest problem page,English,Public problem or editorial page explicitly linked from the official Malaysian Computing Challenge 2025 archive.,Free public web resource,HTTP 200 · verified 2026-08-15,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Challenge 2025 archive,https://ioimalaysia.org/competition/mcc/2025/archive/,MCC 2025 — Problem 6: Increasing Subsequence Median Sum,https://ioimalaysia.org/competition/mcc/2025/archive/p6/,Official contest problem page,English,Public problem or editorial page explicitly linked from the official Malaysian Computing Challenge 2025 archive.,Free public web resource,HTTP 200 · verified 2026-08-15,Yes
Malaysia,DM,algorithms;competitive programming;discrete mathematics;contest,A,Official competition archive,Malaysian Computing Challenge 2025 archive,https://ioimalaysia.org/competition/mcc/2025/archive/,MCC 2025 — Official Editorial,https://ioimalaysia.org/competition/mcc/2025/archive/editorial/,Official contest editorial / solution,English,Public problem or editorial page explicitly linked from the official Malaysian Computing Challenge 2025 archive.,Free public web resource,HTTP 200 · verified 2026-08-15,Yes
